Year,Week_Number,Weekly_Weighted_Avg_TT_TU,Weekly_Weighted_Avg_RF_TU
2018,00,4.204490010002542,84.04412059924489
2018,01,0.013423993413072311,86.00258553830788
2018,02,-2.0341807970707677,81.62301830197471
2018,03,1.9440044756251167,87.50231952784722
2018,04,1.3009822044759933,82.66915606822438
2018,05,-3.3454651901051475,82.95684034182558
2018,06,-1.6538328663596051,81.8973060749948
2018,07,-2.8909606501509737,74.06310166588734
2018,08,-8.69818786886936,64.63759527654949
2018,09,0.042319322791958776,77.13030932049288
2018,10,3.516489565582372,81.53490653504184
2018,11,-0.9575465731123768,74.01393271241986
2018,12,4.065540061866348,78.15356984846979
2018,13,3.6225174762309758,62.8045970372634
2018,14,11.219027113521456,67.97063092180163
2018,15,11.410719832942844,62.86787719181931
2018,16,8.621659025929214,65.20601646455684
2018,17,9.184913825931616,62.03212555806561
2018,18,7.3171762165927285,55.04797572468114
2018,19,4.4700663072589935,65.00220004591763
2018,20,3.33060621543084,53.09460741591188
2018,21,9.40486962603534,61.24531852554415
2018,22,13.17042729394389,62.85713779064078
2018,23,5.796279618182173,62.474690649616086
2018,24,11.769684556983421,65.63243883198132
2018,25,15.532541810083304,66.17258567102965
2018,26,17.26170125579974,57.12273130121937
2018,27,17.229889532389535,68.96627842643468
2018,28,16.399203721559466,58.03642602672037
2018,29,17.259530106906574,56.64323213136375
2018,30,20.099891771025668,53.33358528313096
2018,31,18.892324893484094,56.27998696290214
2018,32,17.820713621224733,65.12828646758186
2018,33,16.114115615954695,61.2303260517783
2018,34,14.090001100160775,68.084536901514
2018,35,14.606776866012039,75.5289274293373
2018,36,13.99987836651899,67.57415073899449
2018,37,14.312047082281456,63.023171798171795
2018,38,6.584370583646063,68.50074453478888
2018,39,6.2197407814887065,72.24593701642456
2018,40,12.848042129266197,74.72893623982836
2018,41,10.965676573249187,73.46463365239299
2018,42,5.731810603465168,78.49685456454128
2018,43,3.279473203947459,80.91134330212743
2018,44,6.069710887409222,85.07265104358908
2018,45,5.439500193717444,85.09665268071537
2018,46,-2.488059573002755,81.0088178866588
2018,47,1.329821355383592,85.26692942205143
2018,48,6.443465111253473,87.97662400699049
2018,49,-2.4338072906718926,78.95393340647028
2018,50,2.2715775744661264,87.15275346124795
2018,51,0.295819084011614,87.63417879578469
2018,52,5.082519853746386,91.89877672832218
2019,00,-2.3939090773720033,80.48727964485451
2019,01,-0.9295980030902645,85.70964135628121
2019,02,1.2386712928673684,81.70571188410686
2019,03,-4.40939159234564,84.49760228524629
2019,04,-0.11508788433287805,85.93542602710697
2019,05,0.2035526642252307,81.08309447719192
2019,06,3.075384287088077,75.83240245583201
2019,07,1.1333075554556638,70.49053232026002
2019,08,-0.09215599954163836,61.78038253851824
2019,09,4.529397597873645,71.91377206756447
2019,10,3.721848100832278,76.78443072172915
2019,11,5.972522461344102,72.76720329555944
2019,12,4.918537175620038,73.9752830494996
2019,13,7.12260463582128,70.4571576812297
2019,14,3.8672757535001043,66.9883189950043
2019,15,7.917224228832711,55.85729855118327
2019,16,10.914039273948482,58.745310389001816
2019,17,6.8358511798261095,75.17713772481814
2019,18,7.693182671364329,74.72928980345819
2019,19,5.941729275864672,65.13244493280769
2019,20,9.210806062006256,70.98971208093556
2019,21,13.912520877857343,71.21642605184918
2019,22,17.007078573643028,63.50791564496372
2019,23,16.265838511326063,70.56001436836499
2019,24,17.161380639004364,68.62538185659871
2019,25,18.241751993512008,55.93848045759432
2019,26,16.073593319677347,54.349778420846235
2019,27,11.489379590536752,68.01848430207944
2019,28,13.520023541681542,66.10231147629428
2019,29,18.882032244330087,54.01236237874923
2019,30,14.56634144774705,68.52138558751629
2019,31,14.559599944091644,67.60815945670717
2019,32,12.465520502015533,67.85531054643803
2019,33,15.364650110506691,68.46390010980164
2019,34,19.363127787972186,66.66782460324991
2019,35,13.438840631496882,68.64089209401709
2019,36,12.219887547505715,74.55521292198182
2019,37,8.539480964224044,63.21498967769199
2019,38,11.518049636566396,79.41367339677467
2019,39,8.898957369132885,81.50127830228105
2019,40,7.380447644265985,81.37915428843941
2019,41,11.36038225891356,79.822966562173
2019,42,9.702543206235404,83.43861137300111
2019,43,5.33036720980685,85.17041937316733
2019,44,6.760490306620208,89.8537388805454
2019,45,2.666742339681157,87.3953816365571
2019,46,3.6316122737249428,90.3712876018801
2019,47,2.704771198511381,85.09909502187796
2019,48,-1.2387591591174467,82.27170651047973
2019,49,1.681921793827372,80.80570862329593
2019,50,3.278976016556939,81.26369456796472
2019,51,1.5962912633530109,86.80507183337224
2019,52,-1.234091349407442,72.22964428585038
2020,00,-0.4899941864563841,85.47522768088795
2020,01,2.0758587467739735,85.60912943449064
2020,02,1.4831136318275606,77.73247675353012
2020,03,-2.345234658436045,86.496144732117
2020,04,3.506159366953643,83.3566129165785
2020,05,3.2831577348316316,81.87557771863223
2020,06,3.8483592198935463,76.87723760814103
2020,07,5.354850565927017,71.05344717117427
2020,08,1.8102034728499912,77.77909634685592
2020,09,2.5057647632104154,78.68196178499458
2020,10,4.122913108059255,75.51777493028207
2020,11,4.637498544000925,68.22563883033105
2020,12,-0.48608188362449734,48.110807842555
2020,13,2.231844338477861,62.74261703075623
2020,14,9.933799473437258,53.093311641820165
2020,15,5.206686168859465,51.41993338633964
2020,16,10.607845403765186,50.18647872515705
2020,17,9.698653220103967,71.01280017512018
2020,18,11.047055709988541,65.25135530691378
2020,19,9.154893220925565,69.94750378303047
2020,20,14.705192272166098,65.54733484603787
2020,21,13.029936786882404,65.50049770425787
