STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
       1792;2020081400;    3;  -999;-999;eor
       1792;2020081401;    3;  -999;-999;eor
       1792;2020081402;    3;  -999;-999;eor
       1792;2020081403;    3;  -999;-999;eor
       1792;2020081404;    3;  -999;-999;eor
       1792;2020081405;    3;  -999;-999;eor
       1792;2020081406;    3;  19.9;-999;eor
       1792;2020081407;    3;  -999;-999;eor
       1792;2020081408;    3;  -999;-999;eor
       1792;2020081409;    3;  22.2;-999;eor
       1792;2020081410;    3;  24.3;-999;eor
       1792;2020081411;    3;  26.6;-999;eor
       1792;2020081412;    3;  26.6;-999;eor
       1792;2020081413;    3;  28.1;-999;eor
       1792;2020081414;    3;  26.8;-999;eor
       1792;2020081415;    3;  18.3;-999;eor
       1792;2020081416;    3;  18.5;-999;eor
       1792;2020081417;    3;  19.1;-999;eor
       1792;2020081418;    3;  19.2;-999;eor
       1792;2020081419;    3;  19.2;-999;eor
       1792;2020081420;    3;  19.1;-999;eor
       1792;2020081421;    3;  19.1;-999;eor
       1792;2020081422;    3;  18.9;-999;eor
       1792;2020081423;    3;  18.8;-999;eor
       1792;2020081500;    3;  18.6;-999;eor
       1792;2020081501;    3;  18.5;-999;eor
       1792;2020081502;    3;  17.9;-999;eor
       1792;2020081503;    3;  17.6;-999;eor
       1792;2020081504;    3;  17.5;-999;eor
       1792;2020081505;    3;  17.9;-999;eor
       1792;2020081506;    3;  18.3;-999;eor
       1792;2020081507;    3;  19.4;-999;eor
       1792;2020081508;    3;  20.9;-999;eor
       1792;2020081509;    3;  21.9;-999;eor
       1792;2020081510;    3;  21.6;-999;eor
       1792;2020081511;    3;  21.7;-999;eor
       1792;2020081512;    3;  22.0;-999;eor
       1792;2020081513;    3;  22.7;-999;eor
       1792;2020081514;    3;  23.7;-999;eor
       1792;2020081515;    3;  24.7;-999;eor
       1792;2020081516;    3;  25.2;-999;eor
       1792;2020081517;    3;  23.8;-999;eor
       1792;2020081518;    3;  23.1;-999;eor
       1792;2020081519;    3;  22.2;-999;eor
       1792;2020081520;    3;  21.6;-999;eor
       1792;2020081521;    3;  20.9;-999;eor
       1792;2020081522;    3;  20.0;-999;eor
       1792;2020081523;    3;  19.3;-999;eor
       1792;2020081600;    3;  18.5;-999;eor
       1792;2020081601;    3;  18.1;-999;eor
       1792;2020081602;    3;  17.7;-999;eor
       1792;2020081603;    3;  17.5;-999;eor
       1792;2020081604;    3;  17.7;-999;eor
       1792;2020081605;    3;  18.0;-999;eor
       1792;2020081606;    3;  18.8;-999;eor
       1792;2020081607;    3;  20.1;-999;eor
       1792;2020081608;    3;  22.2;-999;eor
       1792;2020081609;    3;  24.1;-999;eor
       1792;2020081610;    3;  26.2;-999;eor
       1792;2020081611;    3;  26.9;-999;eor
       1792;2020081612;    3;  27.8;-999;eor
       1792;2020081613;    3;  28.3;-999;eor
       1792;2020081614;    3;  28.3;-999;eor
       1792;2020081615;    3;  27.9;-999;eor
       1792;2020081616;    3;  27.7;-999;eor
       1792;2020081617;    3;  28.0;-999;eor
       1792;2020081618;    3;  26.8;-999;eor
       1792;2020081619;    3;  25.5;-999;eor
       1792;2020081620;    3;  24.0;-999;eor
       1792;2020081621;    3;  23.1;-999;eor
       1792;2020081622;    3;  21.7;-999;eor
       1792;2020081623;    3;  20.3;-999;eor
       1792;2020081700;    3;  20.1;-999;eor
       1792;2020081701;    3;  19.5;-999;eor
       1792;2020081702;    3;  19.2;-999;eor
       1792;2020081703;    3;  18.9;-999;eor
       1792;2020081704;    3;  18.6;-999;eor
       1792;2020081705;    3;  18.8;-999;eor
       1792;2020081706;    3;  19.6;-999;eor
       1792;2020081707;    3;  20.4;-999;eor
       1792;2020081708;    3;  21.2;-999;eor
       1792;2020081709;    3;  20.6;-999;eor
       1792;2020081710;    3;  21.3;-999;eor
       1792;2020081711;    3;  22.8;-999;eor
       1792;2020081712;    3;  22.6;-999;eor
       1792;2020081713;    3;  22.7;-999;eor
       1792;2020081714;    3;  23.1;-999;eor
       1792;2020081715;    3;  22.9;-999;eor
       1792;2020081716;    3;  22.8;-999;eor
       1792;2020081717;    3;  22.7;-999;eor
       1792;2020081718;    3;  22.4;-999;eor
       1792;2020081719;    3;  20.6;-999;eor
       1792;2020081720;    3;  19.9;-999;eor
       1792;2020081721;    3;  16.4;-999;eor
       1792;2020081722;    3;  16.5;-999;eor
       1792;2020081723;    3;  15.6;-999;eor
       1792;2020081800;    3;  16.0;-999;eor
       1792;2020081801;    3;  15.3;-999;eor
       1792;2020081802;    3;  14.7;-999;eor
       1792;2020081803;    3;  14.7;-999;eor
       1792;2020081804;    3;  14.0;-999;eor
       1792;2020081805;    3;  14.1;-999;eor
       1792;2020081806;    3;  15.3;-999;eor
       1792;2020081807;    3;  17.0;-999;eor
       1792;2020081808;    3;  18.8;  90.0;eor
       1792;2020081809;    3;  20.2;  84.0;eor
       1792;2020081810;    3;  20.5;  78.0;eor
       1792;2020081811;    3;  23.3;  64.0;eor
       1792;2020081812;    3;  23.1;  60.0;eor
       1792;2020081813;    3;  23.4;  59.0;eor
       1792;2020081814;    3;  23.2;  58.0;eor
       1792;2020081815;    3;  24.1;  58.0;eor
       1792;2020081816;    3;  24.2;  55.0;eor
       1792;2020081817;    3;  23.2;  56.0;eor
       1792;2020081818;    3;  21.4;  64.0;eor
       1792;2020081819;    3;  19.0;  80.0;eor
       1792;2020081820;    3;  16.6;  93.0;eor
       1792;2020081821;    3;  15.5;  97.0;eor
       1792;2020081822;    3;  14.6;  98.0;eor
       1792;2020081823;    3;  14.3;  99.0;eor
       1792;2020081900;    3;  14.1;  99.0;eor
       1792;2020081901;    3;  13.3;  99.0;eor
       1792;2020081902;    3;  13.0; 100.0;eor
       1792;2020081903;    3;  12.6; 100.0;eor
       1792;2020081904;    3;  12.1; 100.0;eor
       1792;2020081905;    3;  12.3; 100.0;eor
       1792;2020081906;    3;  15.1;  94.0;eor
       1792;2020081907;    3;  17.5;  87.0;eor
       1792;2020081908;    3;  19.7;  79.0;eor
       1792;2020081909;    3;  21.5;  64.0;eor
       1792;2020081910;    3;  22.6;  58.0;eor
       1792;2020081911;    3;  24.0;  55.0;eor
       1792;2020081912;    3;  24.9;  50.0;eor
       1792;2020081913;    3;  25.3;  46.0;eor
       1792;2020081914;    3;  25.4;  47.0;eor
       1792;2020081915;    3;  25.8;  47.0;eor
       1792;2020081916;    3;  25.7;  50.0;eor
       1792;2020081917;    3;  25.5;  50.0;eor
       1792;2020081918;    3;  23.5;  61.0;eor
       1792;2020081919;    3;  22.7;  62.0;eor
       1792;2020081920;    3;  21.9;  64.0;eor
       1792;2020081921;    3;  21.4;  67.0;eor
       1792;2020081922;    3;  21.4;  67.0;eor
       1792;2020081923;    3;  20.7;  71.0;eor
       1792;2020082000;    3;  19.9;  77.0;eor
       1792;2020082001;    3;  20.7;  71.0;eor
       1792;2020082002;    3;  20.8;  70.0;eor
       1792;2020082003;    3;  20.5;  75.0;eor
       1792;2020082004;    3;  20.4;  74.0;eor
       1792;2020082005;    3;  20.6;  75.0;eor
       1792;2020082006;    3;  20.4;  81.0;eor
       1792;2020082007;    3;  21.5;  81.0;eor
