STATIONS_ID;MESS_DATUM;QN_9;TT_TU;RF_TU;eor
      15207;2013110100;    3;   6.5;  81.0;eor
      15207;2013110101;    3;   5.9;  86.0;eor
      15207;2013110102;    3;   6.1;  87.0;eor
      15207;2013110103;    3;   6.2;  87.0;eor
      15207;2013110104;    3;   6.1;  88.0;eor
      15207;2013110105;    3;   6.2;  88.0;eor
      15207;2013110106;    3;   6.1;  89.0;eor
      15207;2013110107;    3;   6.2;  89.0;eor
      15207;2013110108;    3;   6.5;  89.0;eor
      15207;2013110109;    3;   7.3;  86.0;eor
      15207;2013110110;    3;   7.7;  86.0;eor
      15207;2013110111;    3;   8.0;  84.0;eor
      15207;2013110112;    3;   8.1;  86.0;eor
      15207;2013110113;    3;   7.9;  88.0;eor
      15207;2013110114;    3;   7.6;  90.0;eor
      15207;2013110115;    3;   7.3;  92.0;eor
      15207;2013110116;    3;   7.5;  90.0;eor
      15207;2013110117;    3;   7.7;  87.0;eor
      15207;2013110118;    3;   7.9;  88.0;eor
      15207;2013110119;    3;   8.0;  87.0;eor
      15207;2013110120;    3;   7.6;  87.0;eor
      15207;2013110121;    3;   7.4;  92.0;eor
      15207;2013110122;    3;   7.1;  93.0;eor
      15207;2013110123;    3;   7.1;  90.0;eor
      15207;2013110200;    3;   6.6;  90.0;eor
      15207;2013110201;    3;   6.4;  92.0;eor
      15207;2013110202;    3;   6.7;  93.0;eor
      15207;2013110203;    3;   7.0;  95.0;eor
      15207;2013110204;    3;   7.6;  95.0;eor
      15207;2013110205;    3;   8.3;  93.0;eor
      15207;2013110206;    3;   8.7;  94.0;eor
      15207;2013110207;    3;   8.8;  95.0;eor
      15207;2013110208;    3;   9.5;  95.0;eor
      15207;2013110209;    3;  10.3;  92.0;eor
      15207;2013110210;    3;  11.2;  88.0;eor
      15207;2013110211;    3;  11.1;  90.0;eor
      15207;2013110212;    3;  11.4;  92.0;eor
      15207;2013110213;    3;  11.8;  91.0;eor
      15207;2013110214;    3;  12.5;  89.0;eor
      15207;2013110215;    3;  12.5;  91.0;eor
      15207;2013110216;    3;  12.2;  95.0;eor
      15207;2013110217;    3;  12.7;  92.0;eor
      15207;2013110218;    3;  13.2;  92.0;eor
      15207;2013110219;    3;  13.2;  88.0;eor
      15207;2013110220;    3;  11.7;  81.0;eor
      15207;2013110221;    3;  10.8;  85.0;eor
      15207;2013110222;    3;  10.8;  86.0;eor
      15207;2013110223;    3;  10.9;  88.0;eor
      15207;2013110300;    3;  10.5;  89.0;eor
      15207;2013110301;    3;  10.6;  90.0;eor
      15207;2013110302;    3;  10.6;  91.0;eor
      15207;2013110303;    3;  10.6;  91.0;eor
      15207;2013110304;    3;   9.7;  93.0;eor
      15207;2013110305;    3;   8.3;  90.0;eor
      15207;2013110306;    3;   7.9;  88.0;eor
      15207;2013110307;    3;   8.1;  87.0;eor
      15207;2013110308;    3;   8.3;  83.0;eor
      15207;2013110309;    3;   8.6;  83.0;eor
      15207;2013110310;    3;   8.2;  75.0;eor
      15207;2013110311;    3;   8.3;  71.0;eor
      15207;2013110312;    3;   8.2;  68.0;eor
      15207;2013110313;    3;   9.2;  62.0;eor
      15207;2013110314;    3;   8.8;  62.0;eor
      15207;2013110315;    3;   8.4;  63.0;eor
      15207;2013110316;    3;   8.3;  65.0;eor
      15207;2013110317;    3;   8.0;  70.0;eor
      15207;2013110318;    3;   7.6;  73.0;eor
      15207;2013110319;    3;   6.8;  79.0;eor
      15207;2013110320;    3;   6.7;  82.0;eor
      15207;2013110321;    3;   6.7;  80.0;eor
      15207;2013110322;    3;   6.6;  82.0;eor
      15207;2013110323;    3;   6.7;  81.0;eor
      15207;2013110400;    3;   6.6;  80.0;eor
      15207;2013110401;    3;   6.1;  85.0;eor
      15207;2013110402;    3;   6.0;  83.0;eor
      15207;2013110403;    3;   5.7;  85.0;eor
      15207;2013110404;    3;   5.8;  89.0;eor
      15207;2013110405;    3;   6.2;  90.0;eor
      15207;2013110406;    3;   6.7;  89.0;eor
      15207;2013110407;    3;   6.9;  91.0;eor
      15207;2013110408;    3;   7.2;  91.0;eor
      15207;2013110409;    3;   7.7;  91.0;eor
      15207;2013110410;    3;   8.2;  91.0;eor
      15207;2013110411;    3;   8.4;  93.0;eor
      15207;2013110412;    3;   8.9;  92.0;eor
      15207;2013110413;    3;   9.3;  90.0;eor
      15207;2013110414;    3;   9.7;  89.0;eor
      15207;2013110415;    3;   9.7;  90.0;eor
      15207;2013110416;    3;   9.5;  92.0;eor
      15207;2013110417;    3;   9.6;  92.0;eor
      15207;2013110418;    3;   5.8;  93.0;eor
      15207;2013110419;    3;   5.6;  91.0;eor
      15207;2013110420;    3;   5.7;  89.0;eor
      15207;2013110421;    3;   5.6;  88.0;eor
      15207;2013110422;    3;   4.6;  86.0;eor
      15207;2013110423;    3;   4.6;  83.0;eor
      15207;2013110500;    3;   4.2;  89.0;eor
      15207;2013110501;    3;   4.5;  89.0;eor
      15207;2013110502;    3;   5.1;  89.0;eor
      15207;2013110503;    3;   5.3;  91.0;eor
      15207;2013110504;    3;   5.2;  93.0;eor
      15207;2013110505;    3;   5.6;  90.0;eor
      15207;2013110506;    3;   5.5;  92.0;eor
      15207;2013110507;    3;   5.5;  91.0;eor
      15207;2013110508;    3;   5.8;  91.0;eor
      15207;2013110509;    3;   6.5;  86.0;eor
      15207;2013110510;    3;   6.2;  88.0;eor
      15207;2013110511;    3;   7.0;  81.0;eor
      15207;2013110512;    3;   7.3;  79.0;eor
      15207;2013110513;    3;   6.5;  77.0;eor
      15207;2013110514;    3;   6.1;  82.0;eor
      15207;2013110515;    3;   5.5;  82.0;eor
